"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.194580727E2,6.289918500E1,2.766840333E1,1.059465750E2,8.992197514E-1,1.728000031E2,1.799999952E0,9.000000000E0
2.204580727E2,6.289917333E1,2.766840333E1,1.057465610E2,9.069405794E-1,1.738500061E2,1.799999952E0,8.600000381E0
2.214580727E2,6.289916667E1,2.766840000E1,1.057465531E2,8.992197514E-1,1.834900055E2,1.799999952E0,8.699999809E0
2.224580727E2,6.289915500E1,2.766839833E1,1.057465391E2,8.909841776E-1,1.912799988E2,1.700000048E0,8.699999809E0
2.234580727E2,6.289914333E1,2.766839333E1,1.056465251E2,8.606155515E-1,2.046399994E2,1.700000048E0,8.699999809E0
2.244580727E2,6.289913333E1,2.766839167E1,1.053465131E2,8.271586299E-1,1.843600006E2,1.700000048E0,8.600000381E0
2.254580727E2,6.289912167E1,2.766839667E1,1.051464990E2,8.086286187E-1,1.817599945E2,1.700000048E0,8.899999619E0
2.264580727E2,6.289910833E1,2.766840167E1,1.048464828E2,8.482622504E-1,1.831999969E2,1.700000048E0,8.500000000E0
2.274580727E2,6.289909667E1,2.766840167E1,1.047464687E2,8.472327590E-1,1.969799957E2,1.799999952E0,8.600000381E0
2.284580727E2,6.289908833E1,2.766840333E1,1.047464587E2,8.621597290E-1,2.108000031E2,1.799999952E0,8.500000000E0
2.294580727E2,6.289908000E1,2.766839667E1,1.046464488E2,8.925283551E-1,2.025700073E2,1.700000048E0,8.800000191E0
2.304580727E2,6.289906833E1,2.766839833E1,1.041464347E2,9.023080468E-1,1.927400055E2,1.700000048E0,9.199999809E0
2.314580727E2,6.289905667E1,2.766840000E1,1.040464206E2,8.992197514E-1,1.818899994E2,1.700000048E0,8.500000000E0
2.324580727E2,6.289904667E1,2.766840667E1,1.036464084E2,8.534094691E-1,2.096900024E2,1.700000048E0,8.300000191E0
2.334580727E2,6.289903667E1,2.766840833E1,1.035463963E2,8.384824991E-1,2.037500000E2,1.799999952E0,8.699999809E0
2.344580727E2,6.289902667E1,2.766840333E1,1.034463844E2,8.518652916E-1,2.056699982E2,1.700000048E0,8.899999619E0
2.354580727E2,6.289901667E1,2.766840500E1,1.034463723E2,8.323058486E-1,2.017500000E2,1.799999952E0,9.199999809E0
2.364580727E2,6.289900500E1,2.766840333E1,1.034463583E2,7.772305608E-1,1.947200012E2,1.700000048E0,9.000000000E0
2.374580727E2,6.289899167E1,2.766840500E1,1.033463422E2,7.751716375E-1,1.865599976E2,1.799999952E0,8.699999809E0
2.384580727E2,6.289897833E1,2.766841333E1,1.034463260E2,7.813483477E-1,1.915099945E2,1.799999952E0,9.000000000E0
2.394580727E2,6.289896500E1,2.766841500E1,1.035463099E2,7.762011290E-1,1.773099976E2,1.799999952E0,9.300000191E0
2.404580727E2,6.289895000E1,2.766843000E1,1.044462915E2,7.684803009E-1,1.733999939E2,1.799999952E0,9.100000381E0
2.414580727E2,6.289893167E1,2.766844333E1,1.046462690E2,7.998783588E-1,1.701999969E2,1.700000048E0,8.699999809E0
2.424580727E2,6.289891667E1,2.766845500E1,1.049462507E2,8.250997066E-1,1.771999969E2,1.700000048E0,8.699999809E0
2.434580727E2,6.289890500E1,2.766846333E1,1.050462364E2,8.266438842E-1,1.842899933E2,1.700000048E0,8.899999619E0
2.444580727E2,6.289889500E1,2.766846333E1,1.046462244E2,8.317911029E-1,1.918200073E2,1.700000048E0,9.100000381E0
2.454580727E2,6.289888500E1,2.766845833E1,1.043462125E2,8.209819198E-1,1.982500000E2,1.700000048E0,8.800000191E0
2.464580727E2,6.289887500E1,2.766846000E1,1.043462004E2,8.122316599E-1,1.822599945E2,1.700000048E0,8.800000191E0
2.474580727E2,6.289886667E1,2.766846667E1,1.042461902E2,8.101727962E-1,1.709400024E2,1.700000048E0,8.399999619E0
2.484580727E2,6.289885167E1,2.766846833E1,1.040461721E2,8.163494468E-1,1.767100067E2,1.700000048E0,8.699999809E0
2.494580727E2,6.289883833E1,2.766847500E1,1.039461559E2,8.544389009E-1,1.731699982E2,1.700000048E0,8.899999619E0
2.504580727E2,6.289882833E1,2.766848000E1,1.037461437E2,8.338500261E-1,1.806300049E2,1.700000048E0,8.399999619E0
2.514580727E2,6.289881833E1,2.766848500E1,1.033461316E2,7.762011290E-1,1.778999939E2,1.700000048E0,8.600000381E0
2.524580727E2,6.289880333E1,2.766848833E1,1.032461134E2,7.962752581E-1,1.768999939E2,1.700000048E0,8.600000381E0
2.534580727E2,6.289879000E1,2.766849000E1,1.031460973E2,8.492916822E-1,1.806499939E2,1.700000048E0,8.699999809E0
2.544580727E2,6.289877833E1,2.766849000E1,1.030460833E2,8.750277758E-1,1.883000031E2,1.700000048E0,8.699999809E0
2.554580727E2,6.289876667E1,2.766849167E1,1.031460692E2,9.223822355E-1,1.841999969E2,1.700000048E0,8.399999619E0
2.564580727E2,6.289875667E1,2.766849000E1,1.029460572E2,9.687072039E-1,1.834700012E2,1.600000024E0,8.399999619E0
2.574580727E2,6.289874667E1,2.766848500E1,1.027460453E2,9.985610843E-1,1.799100037E2,1.600000024E0,8.199999809E0
2.584580727E2,6.289873667E1,2.766848000E1,1.027460334E2,9.892961383E-1,1.961799927E2,1.600000024E0,8.300000191E0
2.594580727E2,6.289872500E1,2.766847833E1,1.025460194E2,9.753986001E-1,1.807500000E2,1.600000024E0,8.199999809E0
2.604580727E2,6.289869500E1,2.766851833E1,1.038459822E2,1.063930869E0,1.648200073E2,1.500000000E0,8.300000191E0
2.614580727E2,6.289868000E1,2.766852833E1,1.037459639E2,1.140624404E0,1.660099945E2,1.700000048E0,8.399999619E0
2.624580727E2,6.289866667E1,2.766853167E1,1.035459478E2,1.154007196E0,1.745599976E2,1.700000048E0,8.699999809E0
2.634580727E2,6.289865333E1,2.766853333E1,1.035459317E2,1.182316899E0,1.859700012E2,1.799999952E0,8.699999809E0
2.644580727E2,6.289863833E1,2.766853667E1,1.037459136E2,1.205994129E0,1.831799927E2,1.799999952E0,8.699999809E0
2.654580727E2,6.289862167E1,2.766854667E1,1.039458932E2,1.215773940E0,1.879499969E2,1.799999952E0,8.600000381E0
2.664580727E2,6.289860833E1,2.766855167E1,1.039458771E2,1.238421679E0,1.790599976E2,1.700000048E0,8.800000191E0
2.674580727E2,6.289859500E1,2.766856000E1,1.040458608E2,1.229671359E0,1.865500031E2,1.700000048E0,8.699999809E0
2.684580727E2,6.289858833E1,2.766855667E1,1.040458529E2,1.269304991E0,1.862299957E2,1.700000048E0,8.800000191E0
2.694580727E2,6.289857667E1,2.766856667E1,1.040458386E2,1.281658292E0,1.672700043E2,1.700000048E0,8.699999809E0
2.704580727E2,6.289856333E1,2.766858000E1,1.041458222E2,1.237392187E0,1.729299927E2,1.700000048E0,8.500000000E0
2.714580727E2,6.289855000E1,2.766859167E1,1.043458058E2,1.235333323E0,1.631000061E2,1.700000048E0,8.600000381E0
2.724580727E2,6.289852333E1,2.766863333E1,1.054457727E2,1.238421679E0,1.499600067E2,1.600000024E0,8.000000000E0
2.734580727E2,6.289851000E1,2.766866167E1,1.068457559E2,1.218347549E0,1.373200073E2,1.500000000E0,8.000000000E0
2.744580727E2,6.289850333E1,2.766867833E1,1.070457475E2,1.164816380E0,1.283500061E2,1.600000024E0,8.399999619E0
2.754580727E2,6.289850000E1,2.766869167E1,1.070457431E2,1.141139150E0,1.309299927E2,1.700000048E0,8.699999809E0
2.764580727E2,6.289849667E1,2.766870167E1,1.072457389E2,1.087608099E0,1.365200043E2,1.700000048E0,9.199999809E0
2.774580727E2,6.289849500E1,2.766872000E1,1.073457364E2,1.088122725E0,1.216999969E2,1.700000048E0,9.300000191E0
2.784580727E2,6.289849000E1,2.766874500E1,1.074457297E2,1.059813023E0,1.133799973E2,1.700000048E0,9.500000000E0
2.794580727E2,6.289848833E1,2.766877000E1,1.077457271E2,1.017605782E0,9.069999695E1,1.799999952E0,9.699999809E0
2.804580727E2,6.289848833E1,2.766879667E1,1.080457264E2,1.020694137E0,8.408999634E1,1.799999952E0,9.699999809E0
2.814580727E2,6.289848833E1,2.766882333E1,1.085457258E2,1.017091155E0,8.966999817E1,1.799999952E0,9.699999809E0
2.824580727E2,6.289849000E1,2.766884833E1,1.088457271E2,9.898108244E-1,1.090400009E2,1.799999952E0,9.699999809E0
2.834580727E2,6.289849000E1,2.766886833E1,1.088457266E2,9.609863758E-1,9.183999634E1,1.799999952E0,9.500000000E0
2.844580727E2,6.289849333E1,2.766889500E1,1.090457300E2,9.877519608E-1,9.116999817E1,1.799999952E0,9.500000000E0
2.854580727E2,6.289849667E1,2.766891667E1,1.094457334E2,1.000620008E0,8.641999817E1,1.799999952E0,9.699999809E0
2.864580727E2,6.289849833E1,2.766893500E1,1.095457350E2,1.016576409E0,9.019999695E1,1.799999952E0,9.600000381E0
2.874580727E2,6.289850000E1,2.766895833E1,1.097457364E2,9.784869552E-1,1.230899963E2,1.799999952E0,9.000000000E0
2.884580727E2,6.289849833E1,2.766897333E1,1.095457340E2,9.419416785E-1,1.171600037E2,1.700000048E0,9.000000000E0
2.894580727E2,6.289849833E1,2.766898500E1,1.091457337E2,9.012786150E-1,1.183099976E2,1.700000048E0,8.800000191E0
2.904580727E2,6.289849500E1,2.766899833E1,1.090457294E2,8.580419421E-1,1.391799927E2,1.700000048E0,8.399999619E0
2.914580727E2,6.289848667E1,2.766900000E1,1.087457193E2,7.921574712E-1,1.714900055E2,1.700000048E0,8.100000381E0
2.924580727E2,6.289848167E1,2.766899833E1,1.080457133E2,7.617889047E-1,1.761300049E2,1.700000048E0,8.300000191E0
2.934580727E2,6.289847500E1,2.766900667E1,1.074457051E2,7.231847048E-1,1.778899994E2,1.600000024E0,8.199999809E0
2.944580727E2,6.289846667E1,2.766901000E1,1.067456950E2,6.753155589E-1,1.771600037E2,1.700000048E0,8.300000191E0
2.954580727E2,6.289845667E1,2.766901500E1,1.063456828E2,6.361966729E-1,1.798099976E2,1.700000048E0,8.600000381E0
2.964580727E2,6.289844500E1,2.766902000E1,1.059456687E2,6.135488749E-1,1.833300018E2,1.700000048E0,8.899999619E0
2.974580727E2,6.289843500E1,2.766902833E1,1.055456564E2,6.284758449E-1,1.812200012E2,1.700000048E0,9.300000191E0
2.984580727E2,6.289842333E1,2.766902667E1,1.050456424E2,6.434027553E-1,1.842700043E2,1.700000048E0,9.500000000E0
2.994580727E2,6.289841333E1,2.766902500E1,1.046456304E2,6.840658188E-1,1.859100037E2,1.700000048E0,9.800000191E0
3.004580727E2,6.289840333E1,2.766902500E1,1.041456184E2,7.128902674E-1,1.852500000E2,1.700000048E0,9.199999809E0
3.014580727E2,6.289838833E1,2.766904333E1,1.037455998E2,7.185522318E-1,1.895899963E2,1.700000048E0,8.699999809E0
3.024580727E2,6.289837667E1,2.766906500E1,1.033455853E2,7.139196992E-1,1.786000061E2,1.700000048E0,9.000000000E0
3.034580727E2,6.289836833E1,2.766907000E1,1.030455751E2,6.964191794E-1,2.108899994E2,1.700000048E0,9.199999809E0
3.044580727E2,6.289836333E1,2.766907333E1,1.029455690E2,6.603885889E-1,1.798099976E2,1.700000048E0,9.500000000E0
3.054580727E2,6.289836167E1,2.766907167E1,1.029455670E2,6.104605794E-1,2.228800049E2,1.600000024E0,9.500000000E0
3.064580727E2,6.289835667E1,2.766906500E1,1.030455612E2,5.595030785E-1,2.195299988E2,1.600000024E0,9.600000381E0
3.074580727E2,6.289835500E1,2.766905333E1,1.030455595E2,5.095750093E-1,2.546399994E2,1.600000024E0,9.800000191E0
3.084580727E2,6.289835333E1,2.766903833E1,1.031455578E2,4.472936094E-1,2.692300110E2,1.600000024E0,1.010000038E1
3.094580727E2,6.289835333E1,2.766902500E1,1.031455582E2,0.000000000E0,2.719000053E1,1.600000024E0,1.000000000E1
3.104580727E2,6.289835167E1,2.766901333E1,1.032455565E2,0.000000000E0,3.564400024E2,1.600000024E0,1.010000038E1
3.114580727E2,6.289835167E1,2.766900833E1,1.031455566E2,0.000000000E0,3.127000122E2,1.600000024E0,1.089999962E1
3.124580727E2,6.289835167E1,2.766900833E1,1.031455566E2,0.000000000E0,3.127000122E2,1.600000024E0,1.100000000E1
3.134580727E2,6.289835167E1,2.766900833E1,1.031455566E2,0.000000000E0,3.127000122E2,1.600000024E0,1.110000038E1
