"event","experiment time","system time","system time text"
"START",0.000000000E0,1766559451.613,"2025-12-24 08:57:31.613 UTC+02:00"
"PAUSE",3.248843823E2,1766559776.497,"2025-12-24 09:02:56.497 UTC+02:00"
